knit_version,unit_cost_yarn,machine,knit_price,modified,costing_exception_overridden,active,ship_to_processor,customer_service_rep,schedule_status,split_from,serial_number,sched_enter_by,status,ship_to,qty_ordered,bki,related_dye_order_plan,sched_done_by,purchase_order,job,id,qty_shipped,knitter,quoted_date,qty_G00,uom,requested_date,updated_by,instructions,seconds,qty_received,knit_start,sched_enter_dt,balance,sched_done_dt,internal_notes,note,created_date,created_by,close_dt,knit_style_base
"{'knit_style_base': 2399, 'act_yard_cut_wt': '8.36', 'created_date': '2023-03-10', 'version': '0', 'id': 4333, 'active': 1, 'modified': '2023-09-29 08:09:09.117619', 'price': '0.40', 'target_yard_cut_wt': '7.80', 'created_time': '14:20:06.0442', 'roll_size': '50', 'foreign_id': 6167}",1.24,120,0.40,2025-09-03 12:55:30.164274,0,1,4.0,1,Required,,K2509005,9,Open,,2400,,,,,34268,6600,,1,,,lbs,2025-10-31,9,,,0,2025-10-06,2025-09-03 12:55:30.164274,2400,,,,2025-09-03 12:55:30.164274,9,,"{'id': 2399, 'active': 1, 'foreign_id': 4015, 'base_style': '3009OW', 'created_time': None, 'qs_customer': 'NSAP - NATIONAL SAFETY APPAREL', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'version': '2', 'created_date': '2025-09-03', 'id': 6356, 'active': 1, 'knit_style_base': 3255, 'act_yard_cut_wt': '29.60', 'roll_size': '250', 'foreign_id': 8526, 'price': '0.85', 'modified': '2025-09-09 08:59:40.195162', 'created_time': '09:48:44.861047', 'target_yard_cut_wt': '28.60'}",1.42521,,0.85,2025-09-11 22:01:12.165205,0,1,,19,Required,,K2509004,52,Open,,1750,,9072.0,,,34262,6599,1033.9,1,,256,lbs,2025-09-24,5,,229.6,1060.3,2025-09-03,2025-09-03 09:57:22.578535,689.7,,,,2025-09-03 09:57:22.578535,52,,"{'foreign_id': 5148, 'id': 3255, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'C1B4584A'}"
"{'active': 1, 'id': 6214, 'created_date': '2025-07-03', 'version': '3', 'act_yard_cut_wt': '25.00', 'knit_style_base': 3464, 'foreign_id': 8360, 'roll_size': '50', 'target_yard_cut_wt': '22.60', 'created_time': '15:00:28.046943', 'modified': '2025-09-11 13:40:14.510635', 'price': '0.85'}",2.80296,,0.85,2025-09-05 08:06:11.560263,0,1,,19,,,K2509003,52,Open,,50,,9070.0,,,34260,6598,68.1,1,,,lbs,2025-09-03,52,SSB Sample (CIB3941-1),23.7,44.4,2025-09-03,2025-09-03 09:13:03.094686,5.6,,,,2025-09-03 09:13:03.094686,52,,"{'active': 1, 'id': 3464, 'foreign_id': 5401, 'base_style': 'C1B4760A', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'price': '1.25', 'modified': '2025-09-12 15:32:07.060219', 'created_time': '13:04:39.2764', 'target_yard_cut_wt': '27.7', 'roll_size': '65', 'foreign_id': 8523, 'knit_style_base': 3527, 'act_yard_cut_wt': '24.05', 'version': '1', 'created_date': '2025-09-02', 'active': 1, 'id': 6353}",1.494674,221,1.25,2025-09-12 09:34:07.837238,0,1,,16,Required,,K2509002,80,Open,,65,45436,9067.0,,,34237,6597,,1,,,lbs,2025-09-16,80,,,0,2025-09-04,2025-09-02 13:32:08.354335,65,,,,2025-09-02 13:32:08.354335,80,,"{'active': 1, 'id': 3527, 'foreign_id': 5483, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE4804A'}"
"{'modified': '2025-09-11 08:23:56.315228', 'price': '1.25', 'target_yard_cut_wt': '4.10', 'created_time': '15:34:24.514573', 'roll_size': '74', 'foreign_id': 8522, 'knit_style_base': 2980, 'act_yard_cut_wt': '4.0', 'created_date': '2025-08-29', 'version': '1TMR', 'id': 6352, 'active': 1}",42.1,,1.25,2025-09-11 19:56:09.799299,0,1,,2,,,K2509001,10,Open,,444,,9066.0,,,34236,6596,,1,,516.4,lbs,2025-09-05,10,WL Gore / MR Trial,,516.4,2025-09-04,2025-09-02 12:33:18.417817,0,,,,2025-09-02 12:33:18.417817,10,,"{'created_time': None, 'qs_customer': 'WLGO - W.L. GORE & ASSOCIATES, INC', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'KBDU600K', 'id': 2980, 'active': 1, 'foreign_id': 4793}"
"{'roll_size': '80', 'foreign_id': 2912, 'price': '0.60', 'modified': '2024-02-22 08:45:10.369645', 'created_time': '11:46:10.770839', 'target_yard_cut_wt': '24.5', 'version': '1', 'created_date': '2020-08-25', 'id': 1767, 'active': 1, 'knit_style_base': 691, 'act_yard_cut_wt': '29.04'}",4.03823,45,0.60,2025-08-29 09:31:55.958763,0,1,3.0,1,Required,,K2508092,9,Open,,3200,,9064.0,,,34196,6595,,1,,,lbs,2025-10-17,9,,,0,2025-09-05,2025-08-29 09:31:04.832226,3200,,,,2025-08-29 09:31:04.832226,9,,"{'base_style': '721SM0627', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'foreign_id': 221, 'id': 691, 'active': 1}"
"{'roll_size': '50', 'foreign_id': 8271, 'price': '1.00', 'modified': '2025-09-05 08:19:56.998818', 'created_time': '08:31:08.3781', 'target_yard_cut_wt': '8.35', 'version': '0', 'created_date': '2025-05-30', 'id': 6137, 'active': 1, 'knit_style_base': 3429, 'act_yard_cut_wt': '8.80'}",5.13,83,1.00,2025-09-10 12:56:10.055261,0,1,4.0,1,Required,,K2508091,9,Open,,1200,,,,,34173,6594,7.1,1,,313.5,lbs,2025-09-05,9,,7.1,313.5,2025-08-29,2025-08-28 11:02:20.582663,886.5,,,,2025-08-28 11:02:20.582663,9,,"{'base_style': 'CF5506', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'foreign_id': 5357, 'id': 3429, 'active': 1}"
"{'modified': '2025-09-05 10:29:27.595864', 'price': '0.85', 'target_yard_cut_wt': '17.80', 'created_time': '17:00:46.713544', 'roll_size': '250', 'foreign_id': 8520, 'knit_style_base': 1317, 'act_yard_cut_wt': '16.45', 'created_date': '2025-08-27', 'version': '1DU', 'id': 6350, 'active': 1}",1.25512,186,0.85,2025-09-12 11:56:22.875967,0,1,,19,Required,,K2508090,72,Open,,4000,,9061.0,,,34167,6593,1754.7,1,2025-10-03,248,lbs,2025-10-03,5,,113.2,1889.5,2025-09-08,2025-08-27 17:05:01.488735,2110.5,,,,2025-08-27 17:05:01.488735,72,,"{'foreign_id': 2587, 'id': 1317, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'CT3085'}"
"{'version': '1CU', 'created_date': '2025-07-23', 'id': 6261, 'active': 1, 'knit_style_base': 2257, 'act_yard_cut_wt': '33.75', 'roll_size': '250', 'foreign_id': 8418, 'price': '1.25', 'modified': '2025-09-02 13:35:45.714638', 'created_time': '09:36:03.462027', 'target_yard_cut_wt': '31.00'}",1.45697,135,1.25,2025-09-09 20:01:14.27589,0,1,,19,Complete,,K2508089,72,Open,,16000,,9057.0,,,34160,6592,1884.0,1,2025-11-28,,lbs,2025-11-28,5,,279.1,1604.9,2025-08-28,2025-08-27 14:18:58.368858,14395.1,,,,2025-08-27 14:18:58.368858,72,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE3050', 'id': 2257, 'active': 1, 'foreign_id': 3841}"
"{'target_yard_cut_wt': '36.50', 'created_time': '12:58:40.093028', 'modified': '2025-08-27 12:58:40.093028', 'price': '1.25', 'foreign_id': 8515, 'roll_size': '250', 'act_yard_cut_wt': '41.04', 'knit_style_base': 2067, 'active': 1, 'id': 6345, 'created_date': '2025-08-27', 'version': '1L'}",1.53182,,1.25,2025-08-27 13:08:02.275632,0,1,,19,Required,,K2508088,72,Open,,500,,9056.0,,,34155,6591,,1,2025-10-31,,lbs,2025-10-31,72,,,0,2025-10-13,2025-08-27 13:07:17.250131,500,,,,2025-08-27 13:07:17.250131,72,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'base_style': 'CEE2750', 'foreign_id': 3605, 'id': 2067, 'active': 1}"
"{'active': 1, 'id': 6344, 'created_date': '2025-08-27', 'version': '1D', 'act_yard_cut_wt': '42.50', 'knit_style_base': 2064, 'foreign_id': 8514, 'roll_size': '250', 'target_yard_cut_wt': '39.00', 'created_time': '12:57:43.31588', 'modified': '2025-09-12 14:57:32.26296', 'price': '1.25'}",1.53623,,1.25,2025-09-12 15:02:15.50397,0,1,,19,Required,,K2508087,72,Open,,5750,,9055.0,,,34154,6590,,1,2025-10-31,,lbs,2025-10-31,72,,,0,2025-10-01,2025-08-27 13:04:36.222381,5750,,,,2025-08-27 13:04:36.222381,72,,"{'active': 1, 'id': 2064, 'foreign_id': 3603, 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2748'}"
"{'id': 6343, 'active': 1, 'version': '1L', 'created_date': '2025-08-27', 'act_yard_cut_wt': '41.98', 'knit_style_base': 2063, 'foreign_id': 8513, 'roll_size': '250', 'created_time': '12:56:38.640032', 'target_yard_cut_wt': '39.00', 'price': '1.25', 'modified': '2025-09-12 14:06:32.136172'}",1.53623,,1.25,2025-09-12 14:10:10.63889,0,1,,19,Required,,K2508086,72,Open,,2000,,9054.0,,,34153,6589,,1,2025-10-31,,lbs,2025-10-31,72,,,0,2025-10-01,2025-08-27 13:00:48.260541,2000,,,,2025-08-27 13:00:48.260541,72,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE2746', 'id': 2063, 'active': 1, 'foreign_id': 3602}"
"{'created_time': '11:50:46.259834', 'target_yard_cut_wt': '17.25', 'price': '0.60', 'modified': '2025-08-27 11:50:46.259834', 'foreign_id': 8512, 'roll_size': '58', 'act_yard_cut_wt': '15.60', 'knit_style_base': 1662, 'active': 1, 'id': 6342, 'version': '1', 'created_date': '2025-08-27'}",2.50402,22,0.60,2025-09-12 14:06:28.521046,0,1,4.0,1,Required,,K2508085,9,Open,,1392,,,,,34149,6588,,1,,687.2,lbs,2025-09-12,9,,42,687.2,2025-08-28,2025-08-27 11:57:39.844006,704.8,,,,2025-08-27 11:57:39.844006,9,,"{'active': 1, 'id': 1662, 'foreign_id': 3065, 'created_time': None, 'qs_customer': 'LONG - LONGWORTH IND.', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': '2094'}"
"{'roll_size': '50', 'foreign_id': 8041, 'price': '1.00', 'modified': '2025-09-09 08:20:34.390683', 'created_time': '10:41:35.293498', 'target_yard_cut_wt': '9.15', 'version': '0', 'created_date': '2025-02-17', 'id': 5950, 'active': 1, 'knit_style_base': 3337, 'act_yard_cut_wt': '9.20'}",0,88,1.00,2025-09-12 19:01:12.681085,0,1,1.0,1,Required,,K2508084,9,Open,,200,,,,,34146,6587,13.8,1,,90.3,lbs,2025-09-05,9,,163.8,90.3,2025-08-28,2025-08-27 10:00:12.463211,109.7,,,,2025-08-27 10:00:12.463211,9,,"{'foreign_id': 5240, 'id': 3337, 'active': 1, 'base_style': 'CF5476', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None}"
"{'knit_style_base': 2906, 'act_yard_cut_wt': '34.20', 'version': '3RECU', 'created_date': '2025-08-06', 'active': 1, 'id': 6293, 'price': '0.85', 'modified': '2025-08-06 10:08:12.682026', 'created_time': '10:06:27.051648', 'target_yard_cut_wt': '34.5', 'roll_size': '250', 'foreign_id': 8452}",2.5589,187,0.85,2025-09-12 15:56:09.346557,0,1,,19,Complete,6464.0,K2508083,72,Open,,23750,45301,8902.0,,,33438,6586,4558,1,2025-10-30,982,lbs,2025-10-30,72,,15,5525,2025-08-27,2025-08-27 08:50:34.643899,18225,,,,2025-08-27 08:50:34.643899,72,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4313A', 'active': 1, 'id': 2906, 'foreign_id': 4695}"
"{'act_yard_cut_wt': '7.70', 'knit_style_base': 3470, 'active': 1, 'id': 6341, 'created_date': '2025-08-26', 'version': 'T', 'target_yard_cut_wt': '7.80', 'created_time': '16:13:40.326667', 'modified': '2025-08-26 16:37:31.318238', 'price': '2.00', 'foreign_id': 8510, 'roll_size': '50'}",4.86572,66,2.00,2025-09-12 11:37:21.488137,0,1,,16,Required,,K2508082,80,Open,,100,45410,9050.0,,,34140,6585,,1,,,lbs,2025-08-29,80,,,0,2025-08-27,2025-08-26 16:30:51.111224,100,,,,2025-08-26 16:30:51.111224,80,,"{'foreign_id': 5414, 'id': 3470, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'base_style': 'CF5513'}"
"{'created_date': '2025-08-25', 'version': '0', 'active': 1, 'id': 6338, 'knit_style_base': 3525, 'act_yard_cut_wt': '10.45', 'roll_size': '25', 'foreign_id': 8507, 'modified': '2025-08-29 09:35:22.861607', 'price': '0.60', 'target_yard_cut_wt': '9.10', 'created_time': '08:47:31.670632'}",0.253628,65,0.60,2025-08-28 22:31:12.655856,0,1,4.0,1,Required,,K2508081,9,Open,,25,,,,,34113,6584,,1,,25.3,lbs,2025-08-29,9,,,25.3,2025-08-27,2025-08-25 12:06:34.979301,0,,,,2025-08-25 12:06:34.979301,9,,"{'base_style': 'CF5528', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 3525, 'foreign_id': 5480}"
"{'target_yard_cut_wt': '30.50', 'created_time': '15:50:38.258385', 'modified': '2025-09-09 08:52:53.395795', 'price': '0.85', 'foreign_id': 8155, 'roll_size': '250', 'act_yard_cut_wt': '30.5', 'knit_style_base': 1552, 'id': 6048, 'active': 1, 'created_date': '2025-04-03', 'version': '3B'}",1.43968,199,0.85,2025-09-12 16:36:09.30406,0,1,,19,Required,,K2508080,72,Open,,1750,45403,9048.0,,,34112,6583,19.6,1,2025-09-12,927.8,lbs,2025-09-12,72,,105.8,927.8,2025-09-01,2025-08-25 12:06:22.014942,822.2,,,,2025-08-25 12:06:22.014942,72,,"{'base_style': 'C2B3237', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'foreign_id': 2921, 'id': 1552, 'active': 1}"
"{'price': '0.60', 'modified': '2025-08-25 11:48:39.38107', 'created_time': '08:39:02.857798', 'target_yard_cut_wt': '8.40', 'roll_size': '50', 'foreign_id': 8506, 'knit_style_base': 3524, 'act_yard_cut_wt': None, 'version': '0', 'created_date': '2025-08-25', 'active': 1, 'id': 6337}",0,44,0.60,2025-08-25 12:07:04.027001,0,1,4.0,1,Required,,K2508079,9,Open,,500,,,,,34111,6582,,1,,,lbs,2025-08-29,9,,,0,2025-08-27,2025-08-25 12:04:57.185214,500,,,,2025-08-25 12:04:57.185214,9,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'base_style': 'CF5527', 'foreign_id': 5479, 'active': 1, 'id': 3524}"
"{'price': '1.25', 'modified': '2025-08-27 08:28:01.048211', 'created_time': '14:02:37.247303', 'target_yard_cut_wt': '11.30', 'roll_size': '50', 'foreign_id': 7641, 'knit_style_base': 3132, 'act_yard_cut_wt': None, 'version': '0', 'created_date': '2024-09-05', 'id': 5607, 'active': 1}",9.518815,57,1.25,2025-08-28 08:33:54.309172,0,1,1.0,1,Required,,K2508078,9,Open,,800,,,,,34109,6581,,1,,,lbs,2025-09-26,9,,,0,2025-08-26,2025-08-25 11:18:27.593672,800,,,,2025-08-25 11:18:27.593672,9,,"{'foreign_id': 4991, 'id': 3132, 'active': 1, 'base_style': '1924', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'LONG - LONGWORTH IND.'}"
"{'roll_size': '250', 'foreign_id': 8501, 'price': '0.85', 'modified': '2025-09-04 13:36:53.196793', 'created_time': '14:38:28.589309', 'target_yard_cut_wt': '15.00', 'version': '1B', 'created_date': '2025-08-19', 'id': 6332, 'active': 1, 'knit_style_base': 2725, 'act_yard_cut_wt': '17.55'}",2.54499,194,0.85,2025-09-03 14:21:12.545664,0,1,,19,Complete,,K2508077,72,Open,,750,,9046.0,,,34086,6580,790.9,1,2025-09-05,,lbs,2025-09-05,72,,22.9,768,2025-08-25,2025-08-22 11:28:31.981894,0,,,,2025-08-22 11:28:31.981894,72,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'C1B4139A', 'foreign_id': 4448, 'id': 2725, 'active': 1}"
"{'active': 1, 'id': 6336, 'version': '1AT', 'created_date': '2025-08-22', 'act_yard_cut_wt': '21.05', 'knit_style_base': 250, 'foreign_id': 8505, 'roll_size': '250', 'created_time': '10:48:50.637651', 'target_yard_cut_wt': '18.25', 'price': '0.85', 'modified': '2025-09-04 13:12:05.110316'}",2.10848,199,0.85,2025-09-04 17:06:13.665984,0,1,,19,Complete,,K2508076,72,Open,,1500,,9045.0,,,34084,6579,1490.6,1,2025-09-12,,lbs,2025-09-12,72,,87.5,1403.1,2025-08-25,2025-08-22 11:14:24.469183,96.9000000000001,,,,2025-08-22 11:14:24.469183,72,,"{'base_style': 'CT2222', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'foreign_id': 831, 'active': 1, 'id': 250}"
"{'target_yard_cut_wt': '19', 'created_time': '11:07:12.510032', 'modified': '2025-09-08 16:43:05.495307', 'price': '0.85', 'foreign_id': 8074, 'roll_size': '250', 'act_yard_cut_wt': '18.85', 'knit_style_base': 2991, 'id': 5978, 'active': 1, 'created_date': '2025-03-06', 'version': '1T'}",2.49394,197,0.85,2025-09-12 22:51:12.602266,0,1,,19,Required,,K2508075,72,Open,,8500,45432,9044.0,,,34083,6578,17.3,1,2025-10-31,746,lbs,2025-10-31,5,,265.3,746,2025-08-27,2025-08-22 11:10:12.207924,7754,,,,2025-08-22 11:10:12.207924,72,,"{'foreign_id': 4806, 'id': 2991, 'active': 1, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'base_style': 'C1B4125A'}"
"{'created_date': '2025-08-11', 'version': '3CEL', 'active': 1, 'id': 6305, 'knit_style_base': 1495, 'act_yard_cut_wt': '29.15', 'roll_size': '250', 'foreign_id': 8469, 'modified': '2025-08-21 16:10:55.637199', 'price': '1.25', 'target_yard_cut_wt': '26.00', 'created_time': '13:33:55.13273'}",2.87499,221,1.20,2025-09-03 21:16:10.266054,0,1,,19,Complete,,K2508074,72,Open,,1000,45390,9043.0,,,34079,6577,700.1,1,2025-08-29,,lbs,2025-08-29,72,,44.6,655.5,2025-08-22,2025-08-21 16:14:36.388713,344.5,,,,2025-08-21 16:14:36.388713,72,,"{'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CEE3267', 'active': 1, 'id': 1495, 'foreign_id': 2853}"
"{'created_date': '2025-08-21', 'version': '1H', 'id': 6335, 'active': 1, 'knit_style_base': 2999, 'act_yard_cut_wt': '26.00', 'roll_size': '250', 'foreign_id': 8504, 'modified': '2025-09-11 11:42:52.182184', 'price': '0.85', 'target_yard_cut_wt': '26.40', 'created_time': '15:43:38.162484'}",4.39475,195,0.85,2025-09-12 10:56:09.585662,0,1,,19,Complete,,K2508073,72,Open,,2750,,9042.0,,,34075,6576,1896.7,1,2025-09-12,517,lbs,2025-09-12,72,,12.7,2401,2025-08-25,2025-08-21 15:47:08.459959,349,,,,2025-08-21 15:47:08.459959,72,,"{'active': 1, 'id': 2999, 'foreign_id': 4821, 'base_style': 'C1B4374A', 'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC'}"
"{'id': 5874, 'active': 1, 'version': '0', 'created_date': '2024-09-18', 'act_yard_cut_wt': '11.00', 'knit_style_base': 3287, 'foreign_id': 7677, 'roll_size': '30', 'created_time': '09:37:23.286787', 'target_yard_cut_wt': '14.00', 'price': '0.50', 'modified': '2025-08-25 12:48:50.606575'}",0.22562,65,0.50,2025-08-26 19:26:10.741144,0,1,4.0,1,Required,,K2508072,9,Open,,150,,,,ML81924-H,34069,6575,143.5,1,,,lbs,2025-09-05,9,,5.3,138.2,2025-08-25,2025-08-21 13:39:44.788745,11.8,,,,2025-08-21 13:39:44.788745,9,,"{'id': 3287, 'active': 1, 'foreign_id': 5008, 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CF5430'}"
"{'price': '0.50', 'modified': '2025-06-26 16:24:19.368616', 'created_time': '16:01:26.261629', 'target_yard_cut_wt': '10.00', 'roll_size': '50', 'foreign_id': 7893, 'knit_style_base': 3289, 'act_yard_cut_wt': '10.15', 'version': '0', 'created_date': '2024-12-03', 'id': 5875, 'active': 1}",0,58,0.50,2025-09-10 15:31:19.177802,0,1,4.0,1,Required,,K2508071,9,Open,,3600,,,,ML81924-H,34067,6574,2382.0,1,,1077.9,lbs,2025-09-26,9,,,3459.9,2025-09-15,2025-08-21 13:38:37.441771,140.1,,,,2025-08-21 13:38:37.441771,9,,"{'base_style': 'CF5459', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'CHTR - CHAPMAN TRADING COMPANY', 'foreign_id': 5157, 'id': 3289, 'active': 1}"
"{'foreign_id': 8508, 'roll_size': '50', 'target_yard_cut_wt': '10.00', 'created_time': '12:59:39.688667', 'modified': '2025-08-27 11:18:53.884527', 'price': '0.55', 'active': 1, 'id': 6339, 'created_date': '2025-08-25', 'version': 'R', 'act_yard_cut_wt': '8.24', 'knit_style_base': 1774}",1.85,94,0.55,2025-09-11 13:26:19.258682,0,1,4.0,1,Required,,K2508069,9,Open,,3600,,9036.0,,250277,34058,6572,1232.3,1,,588.1,lbs,2025-09-26,9,,47.7,1785.3,2025-09-01,2025-08-21 11:26:43.916463,1814.7,,,,2025-08-21 11:26:43.916463,9,,"{'foreign_id': 3232, 'id': 1774, 'active': 1, 'base_style': '1945', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'qs_customer': 'LONG - LONGWORTH IND.', 'created_time': None}"
"{'act_yard_cut_wt': '15.60', 'knit_style_base': 1662, 'active': 1, 'id': 6340, 'version': 'R', 'created_date': '2025-08-25', 'created_time': '13:00:39.233336', 'target_yard_cut_wt': '17.25', 'price': '0.60', 'modified': '2025-08-27 11:17:15.193741', 'foreign_id': 8509, 'roll_size': '58'}",0.68894,39,0.60,2025-09-05 15:26:37.279325,0,1,4.0,1,Required,,K2508068,9,Open,,4872,,9035.0,,250274,34054,6571,3527.5,1,,,lbs,2025-09-12,9,,38.2,3489.3,2025-08-25,2025-08-21 09:12:44.132513,1382.7,,,,2025-08-21 09:12:44.132513,9,,"{'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'created_time': None, 'qs_customer': 'LONG - LONGWORTH IND.', 'base_style': '2094', 'foreign_id': 3065, 'active': 1, 'id': 1662}"
"{'target_yard_cut_wt': '28.60', 'created_time': '10:52:04.041396', 'modified': '2025-08-21 10:35:34.039565', 'price': '0.85', 'foreign_id': 8503, 'roll_size': '250', 'act_yard_cut_wt': '27.20', 'knit_style_base': 3255, 'id': 6334, 'active': 1, 'created_date': '2025-08-20', 'version': '1E'}",1.42521,,0.85,2025-09-05 17:06:20.573068,0,1,,19,,,K2508067,52,Open,,4000,,9033.0,,,34047,6570,2326,1,,,lbs,2025-11-20,52,,,2326,,2025-08-20 15:26:11.734646,1674,,,,2025-08-20 15:26:11.734646,52,,"{'active': 1, 'id': 3255, 'foreign_id': 5148, 'qs_customer': 'CTIC - CREATIVE TICKING', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'C1B4584A'}"
"{'roll_size': '50', 'foreign_id': 8020, 'price': '1.00', 'modified': '2025-04-21 15:45:48.072651', 'created_time': '09:01:07.648032', 'target_yard_cut_wt': '16.50', 'version': '1', 'created_date': '2025-02-07', 'active': 1, 'id': 5935, 'knit_style_base': 2519, 'act_yard_cut_wt': '15.60'}",2.47644,,1.00,2025-09-13 00:15:38.607271,0,1,4.0,2,,,K2508066,10,Open,,1400,,9032.0,,4500226868,34041,6569,,1,,1393.8,lbs,2025-09-12,10,STHS / 14 PC Lots,60.1,1393.8,,2025-08-20 11:56:43.153435,55.7,,,,2025-08-20 11:56:43.153435,10,,"{'base_style': '125792', 'qs_customer': 'STHS - STRAEHLE + HESS USA', 'created_time': None, 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'active': 1, 'id': 2519, 'foreign_id': 4171}"
"{'target_yard_cut_wt': '22.60', 'created_time': '10:21:25.927849', 'modified': '2025-09-05 10:30:40.17586', 'price': '0.85', 'foreign_id': 8500, 'roll_size': '250', 'act_yard_cut_wt': '24.55', 'knit_style_base': 1128, 'id': 6331, 'active': 1, 'created_date': '2025-08-19', 'version': '2'}",2.17504,,0.85,2025-09-09 14:36:12.83655,0,1,,19,Required,,K2508065,72,Open,,1000,,9031.0,,,34034,6568,991.7,1,2025-09-19,,lbs,2025-09-19,72,,20.7,971,,2025-08-20 09:37:18.094033,29,,,,2025-08-20 09:37:18.094033,72,,"{'created_time': None, 'qs_customer': 'CTIC - CREATIVE TICKING', 'qs_custodianship': 'CFAB - CREATIVE FABRIC SERVICE, LLC', 'base_style': 'CT2876', 'active': 1, 'id': 1128, 'foreign_id': 2317}"
