Desc#,QS Cust,Supplier,Description,Color,Beginning Balance,Received,Consumed,Adjustments,Theoretical Balance,Misc,On Order,Allocated,Planning Balance,Reconcile Date,Cost/Pound,Total Cost
12309,CFAB,NASP,1/150/36 100% Polyester SEA BLUE 014K,SEA BLUE,393.10,,0.00,,393.10,,0.00,0.00,393.10,2025-06-27,$3.67 ,"$1,442.68 "
12321,CFAB,UNIFI,1/100/96 100% Polyester Natural SETTS,Natural,635.00,,-406.85,,228.15,,0.00,"-2,106.74","-1,878.59",2025-06-27,$1.80 ,$410.67 
12322,CFAB,UNIFI,1/300/68 100% Polyester Natural SETNTS,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.20 ,$0.00 
12323,CFAB,UNIFI,1/70/72 100% Polyester Natural dye select SETTS,Natural,739.00,,0.00,,739.00,,0.00,0.00,739.00,2025-06-27,$1.95 ,"$1,441.05 "
12329,CFAB,FILSPEC Yarns,30/1 90/10 Tencel/Silk Natural SILK,Natural,416.90,,0.00,,416.90,CT,0.00,0.00,416.90,2025-06-27,$7.25 ,"$3,022.53 "
12346,CFAB,MCMICHAELS MILL INC (SAPONA),1/122/96 88/12 Spandex/Polyester Natural 1/40 AE 1/100,Natural,691.00,,0.00,,691.00,,0.00,0.00,691.00,2025-06-27,$4.29 ,"$2,964.39 "
12348,CFAB,PATRICK YARNS,20/1 Modacrylic/Karded Cotton Natural F13,Natural,105.00,,0.00,,105.00,,0.00,0.00,105.00,2025-06-27,$4.87 ,$511.35 
12370,CFAB,MCMICHAELS MILL INC (SAPONA),1/113/96 Spandex/Polyester Natural 1/20 AE 1/100,Natural,928.30,,0.00,,928.30,,0.00,0.00,928.30,2025-06-27,$4.29 ,"$3,982.41 "
12372,CFAB,NASP,1/150/48 100% Polyester SET GREY 428K,SET GREY,53.00,,0.00,,53.00,,0.00,0.00,53.00,2025-06-27,$2.78 ,$147.34 
12373,CFAB,NASP,1/150/36 100% Polyester LATTE 488K,LATTE,"1,182.30",,0.00,,"1,182.30",,0.00,0.00,"1,182.30",2025-06-27,$3.27 ,"$3,866.12 "
12388,CFAB,BURLINGTON MANUFACTURING SERVICE,30/1 Combed Cotton Oatmeal ORGANI,Oatmeal,791.30,,0.00,,791.30,,0.00,0.00,791.30,2025-06-27,$5.52 ,"$4,367.98 "
12394,CFAB,PARKDALE YARN MILLS,40/1 100% Rayon Natural,Natural,307.00,,0.00,,307.00,,0.00,0.00,307.00,2025-06-27,$3.27 ,"$1,003.89 "
12397,CFAB,PARKDALE YARN MILLS,36/1 100% Combed Cotton Natural ORGANI,Natural,"1,182.00",,0.00,,"1,182.00",,0.00,0.00,"1,182.00",2025-06-27,$4.05 ,"$4,787.10 "
12406,CFAB,COAT,26/1 100% Kevlar Black S 30604,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12410,CFAB,COAT,26/1 100% Kevlar Black Z 30602,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12425,CFAB,SPUNLAB,30/1 55/45 Modacrylic/Karded Cotton Natural PRTXM,Natural,269.00,,0.00,,269.00,,0.00,0.00,269.00,2025-06-27,$5.11 ,"$1,374.59 "
12428,CFAB,UNIFI,1/100/96 100% Polyester Natural STWSTR,Natural,221.00,,0.00,,221.00,,0.00,-43.62,177.38,2025-06-27,$2.35 ,$519.35 
12432,CFAB,SPUNLAB,18/1 55/45 Modacrylic/Karded Cotton Natural PRTXM RS,Natural,293.00,,0.00,,293.00,,0.00,0.00,293.00,2025-06-27,$4.92 ,"$1,441.56 "
12438,CFAB,BUHLER QUALITY YARNS CORP,30/1 100% Tencel Natural MICRO RS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12444,CFAB,The LYCRA Company LLC,1/150/200 100% Polyester BRT 935DT,BRT,"1,883.30",,0.00,,"1,883.30",,0.00,0.00,"1,883.30",2025-06-27,$3.65 ,"$6,874.05 "
12445,CFAB,KC TEX INC,24/1 100% Karded Cotton Natural ORGANI,Natural,71.00,,0.00,,71.00,CT,0.00,0.00,71.00,2025-06-27,$2.16 ,$153.36 
12463,CFAB,UNIFI,4/300/68 100% Polyester Natural 56TCST,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$0.95 ,$0.00 
12464,CFAB,PATS,40/1 100% Combed Cotton Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12479,CFAB,UNIFI,1/72/34 100% Polyester Natural SUBSTS,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.30 ,$0.00 
12484,CFAB,DILLON YARNS,1/50 100% Nylon Natural MONO,Natural,259.90,,0.00,,259.90,,0.00,0.00,259.90,2025-06-27,$11.80 ,"$3,066.82 "
12485,CFAB,UNIFI,1/100/96 100% Polyester Natural Z STR,Natural,112.00,,0.00,,112.00,,0.00,0.00,112.00,2025-06-27,$1.97 ,$220.64 
12491,CFAB,DUNAWAY YARNS INC,10/1 100% Combed Cotton Natural ORGANI,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12510,CFAB,PARKDALE YARN MILLS,30/1 50/50 Karded Cotton/Polyester Natural OE,Natural,"1,643.00",,0.00,,"1,643.00",,0.00,0.00,"1,643.00",2025-06-27,$1.62 ,"$2,661.66 "
12512,CFAB,UNIFI,1/150/68 100% Polyester Natural NONTS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.60 ,$0.00 
12526,CFAB,UNIFI,1/300/68 100% Polyester Natural Non-Compliant STRNTS,Natural,"8,593.50","28,058.60","-21,855.62","-1,134.00","13,662.48",CT,"21,941.40","-22,826.22","12,777.66",2025-06-27,$1.15 ,"$15,711.86 "
12539,CFAB,"EDPA USA, LLC",40/1 100% Tencel Natural LF RS,Natural,259.00,,0.00,,259.00,,0.00,0.00,259.00,2025-06-27,$3.48 ,$901.32 
12595,CFAB,SIMA,1/100/96 100% Polyester Semi Dull SETSTR,Semi Dull,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.75 ,$0.00 
12625,CFAB,NASP,1/150/36 100% Polyester GLACIER 651N,GLACIER,30.00,,0.00,,30.00,,0.00,0.00,30.00,2025-06-27,$2.85 ,$85.50 
12631,CFAB,NASP,1/150/34 100% Polyester CARRIBEAN 872N,CARRIBEAN,332.00,,0.00,,332.00,,0.00,0.00,332.00,2025-06-27,$2.66 ,$883.12 
12638,CFAB,SHUFORD,20/1 100% Tencel Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12675,CFAB,PARKDALE YARN MILLS,8/1 Karded Cotton/Polyester Natural,Natural,248.00,,0.00,,248.00,,0.00,0.00,248.00,2025-06-27,$1.23 ,$305.04 
12677,CFAB,UNIFI,1/150/96 100% Polyester Black SET TS,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12684,CFAB,UNIFI,1/100/96 100%STR Polyester Natural REPREV,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12685,CFAB,UNIFI,1/100/96 Polyester Semi Dull REPREV,Semi Dull,294.00,,0.00,,294.00,,0.00,0.00,294.00,2025-06-27,$1.28 ,$376.32 
12688,CFAB,UNIFI,1/150/96 100% Polyester Natural MISCFL,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$1.09 ,$0.00 
12695,CFAB,PARKDALE YARN MILLS,28/1 75/25 Karded Cotton/Polyester Natural OE,Natural,"5,186.00",,0.00,,"5,186.00",,0.00,0.00,"5,186.00",2025-06-27,$0.95 ,"$4,926.70 "
12699,CFAB,DESALES TRADING COMPANY,1/50 60/40 Polyester/Cotton Grey 118,Grey,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12700,CFAB,DESALES TRADING COMPANY,1/50 60/40 Polyester/Cotton Lino V155,Lino,492.30,,0.00,,492.30,,0.00,0.00,492.30,2025-06-27,$3.00 ,"$1,476.90 "
12701,CFAB,UNIFI,1/150/36 100% Polyester Grey 4781M,Grey,778.00,,0.00,,778.00,,0.00,0.00,778.00,2025-06-27,$2.97 ,"$2,310.66 "
12730,CFAB,R BELDA LLORENS,1/50 60/40 Polyester/Cotton Indigo OE,Indigo,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12731,CFAB,R BELDA LLORENS,1/50 60/40 Combed Cotton/Polyester CELESTE OE,CELESTE,351.00,,0.00,,351.00,,0.00,0.00,351.00,2025-06-27,$2.85 ,"$1,000.35 "
12784,CFAB,UNIFI,1/750 100% Polyester Charcoal,Charcoal,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
12997,CFAB,CREORA/US Hyosung,1/30 100% Spandex Semi Dull H350,Semi Dull,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$5.79 ,$0.00 
13029,CFAB,IMIN,1/150/36 Polyester Black,Black,174.00,,0.00,,174.00,,0.00,0.00,174.00,2025-06-27,$1.35 ,$234.90 
13185,CFAB,The LYCRA Company LLC,1/20 100% Lycra Clear 162C,Clear,81.00,,0.00,,81.00,,0.00,0.00,81.00,2025-06-27,$12.53 ,"$1,014.93 "
13195,CFAB,The LYCRA Company LLC,1/20 100% Lycra BRT 163B,BRT,29.00,,0.00,,29.00,,0.00,0.00,29.00,2025-06-27,$10.15 ,$294.35 
13230,CFAB,PARKDALE YARN MILLS,18/1 100% Karded Cotton Natural OE,Natural,100.00,,0.00,,100.00,,0.00,0.00,100.00,2025-06-27,$1.14 ,$114.00 
13245,CFAB,UNIFI,1/50/36 100% Polyester Semi Dull 56TNTS,Semi Dull,346.90,,0.00,,346.90,,0.00,0.00,346.90,2025-06-27,$3.33 ,"$1,155.18 "
13275,CFAB,Nilit America Inc,1/70/68 100% Nylon Natural ZBREEZ,Natural,148.00,,0.00,,148.00,,0.00,0.00,148.00,2025-06-27,$4.25 ,$629.00 
13285,CFAB,PARKDALE YARN MILLS,10/1 100% Karded Cotton Natural OE,Natural,632.70,,0.00,,632.70,,0.00,0.00,632.70,2025-06-27,$1.41 ,$892.11 
13295,CFAB,UNIFI,2/70/72 Polyester NAT DTJ S/Z TW,NAT DTJ,137.00,,0.00,,137.00,,0.00,0.00,137.00,2025-06-27,$2.00 ,$274.00 
13309,CFAB,PARKDALE YARN MILLS,26/1 100% Karded Cotton Natural OE,Natural,532.40,,0.00,,532.40,,0.00,0.00,532.40,2025-06-27,$1.22 ,$649.53 
13317,CFAB,PARKDALE YARN MILLS,18/1 Karded Cotton Natural,Natural,143.00,,0.00,,143.00,,0.00,0.00,143.00,2025-06-27,$1.75 ,$250.25 
13332,CFAB,PARKDALE YARN MILLS,12/1 100% Karded Cotton Natural OE,Natural,427.00,,0.00,,427.00,,0.00,0.00,427.00,2025-06-27,$10.05 ,"$4,291.35 "
13345,CFAB,PREMIERE FIBERS INC,1/200/46 Nylon Black FLAT,Black,250.00,,0.00,,250.00,,0.00,0.00,250.00,2025-06-27,$4.99 ,"$1,247.50 "
13364,CFAB,PARKDALE YARN MILLS,20/1 100% Karded Cotton Natural OE,Natural,800.00,,-729.82,,70.18,,0.00,-232.16,-161.97,2025-06-27,$1.08 ,$75.80 
13420,CFAB,PARKDALE YARN MILLS,26/1 Karded Cotton Natural RS,Natural,478.00,,0.00,,478.00,,0.00,0.00,478.00,2025-06-27,$0.00 ,$0.00 
13494,CFAB,PHARR YARNS,30/1 50/30/20 Modacrylic/Tencel/Twaron Grey PRTXM RS,Grey,0.30,,0.00,,0.30,,0.00,0.00,0.30,2025-06-27,$11.12 ,$3.34 
13545,CFAB,The LYCRA Company LLC,1/40 100% Lycra Semi Bright 582L,Semi Bright,"1,436.10",,-92.85,,"1,343.25",CT,0.00,-5.54,"1,337.70",2025-06-27,$7.83 ,"$10,517.61 "
13560,CFAB,The LYCRA Company LLC,1/70 100% Lycra Semi Bright 582L,Semi Bright,0.00,780.50,-249.23,,531.27,,0.00,-49.24,482.03,2025-06-27,$7.78 ,"$4,133.27 "
13561,CFAB,The LYCRA Company LLC,1/30 100% Lycra Semi Bright 582L,Semi Bright,"1,984.70",,-233.08,,"1,751.62",,0.00,-0.47,"1,751.16",2025-06-27,$9.94 ,"$17,411.14 "
13575,CFAB,The LYCRA Company LLC,1/55 100% Lycra Semi Bright 582L,Semi Bright,"7,893.10",,0.00,,"7,893.10",,0.00,0.00,"7,893.10",2025-06-27,$5.76 ,"$45,464.26 "
13723,CFAB,UNIFI,2/40/36 Polyester Natural CATDIS,Natural,392.60,,0.00,,392.60,,0.00,0.00,392.60,2025-06-27,$3.50 ,"$1,374.10 "
13765,CFAB,HOLO,1/75/72 100% Polyester Natural CELLNT,Natural,92.60,,0.00,,92.60,,0.00,0.00,92.60,2025-06-27,$16.13 ,"$1,493.64 "
13766,CFAB,HOLO,2/75/72 100% Polyester Natural CELLNT,Natural,105.80,,0.00,,105.80,,0.00,0.00,105.80,2025-06-27,$16.13 ,"$1,706.55 "
13777,CFAB,NANY,1/40/24 100% Polyester Semi Dull,Semi Dull,309.00,,-5.05,,303.95,,0.00,-0.06,303.90,2025-06-27,$1.88 ,$571.43 
13794,CFAB,SPUNLAB,30/1 55/45 Modacrylic/Karded Cotton Natural PRTXC,Natural,181.80,,0.00,,181.80,,0.00,0.00,181.80,2025-06-27,$6.38 ,"$1,159.88 "
13812,CFAB,CS AMERICA,1/75/72 100% Polyester Natural CAT,Natural,319.00,,0.00,,319.00,,0.00,0.00,319.00,2025-06-27,$2.95 ,$941.05 
13920,CFAB,The LYCRA Company LLC,1/140 100% Lycra BRT 162B,BRT,759.30,,0.00,,759.30,,0.00,0.00,759.30,2025-06-27,$5.60 ,"$4,252.08 "
13946,CFAB,CS AMERICA,1/75/36 100% Polyester BLK SOLDY SETNTS,BLK SOLDY,258.00,,0.00,,258.00,,0.00,0.00,258.00,2025-06-27,$2.00 ,$516.00 
14061,CFAB,The LYCRA Company LLC,1/40 100% Lycra Black 582Z,Black,72.00,,0.00,,72.00,,0.00,0.00,72.00,2025-06-27,$9.94 ,$715.68 
14077,CFAB,PATRICK YARNS,30/1 55/35/10 Modacrylic/Karded Cotton/Blk Karded Cotton Heather PRTXM RS,Heather,296.00,,0.00,,296.00,,0.00,0.00,296.00,2025-06-27,$5.34 ,"$1,580.64 "
14105,CFAB,PATRICK YARNS,30/1 55/45 Modacrylic/Karded Cotton Natural PRTXC RS,Natural,167.00,,0.00,,167.00,,0.00,0.00,167.00,2025-06-27,$4.59 ,$766.53 
14114,CFAB,BEAL MANUFACTURING INC,20/1 85/15 Modacrylic/Tencel Natural AJS,Natural,78.00,,0.00,,78.00,,0.00,0.00,78.00,2025-06-27,$5.69 ,$443.82 
14115,CFAB,BEAL MANUFACTURING INC,24/1 85/15 Modacrylic/Tencel Natural AJS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$5.94 ,$0.00 
14121,CFAB,SPUNLAB,30/1 85/15 Modacrylic/Tencel Natural PRTXC RS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$5.80 ,$0.00 
14146,CFAB,UNIFI,1/200/68 100% Polyester Heather SET TS,Heather,129.00,,0.00,,129.00,,0.00,0.00,129.00,2025-06-27,$2.30 ,$296.70 
14147,CFAB,UNIFI,1/220/68 Polyester Heather SET TS,Heather,167.00,,0.00,,167.00,,0.00,0.00,167.00,2025-06-27,$2.30 ,$384.10 
14148,CFAB,MERIDIAN SPECIALTY YARN GROUP INC,1/150/36 100% Polyester Cool Grey,Cool Grey,"12,276.30",,-164.08,,"12,112.22",CT,0.00,-0.48,"12,111.74",2025-06-27,$3.20 ,"$38,759.11 "
14219,CFAB,SPUNLAB,8/1 55/35/10 Modacrylic/Karded Cotton/Blk Karded Cotton Heather PRTXC OE,Heather,636.00,,0.00,,636.00,,0.00,0.00,636.00,2025-06-27,$3.62 ,"$2,302.32 "
14220,CFAB,SPUNLAB,18/1 55/35/10 Modacrylic/Karded Cotton/Blk Karded Cotton Heather PRTXC RS,Heather,137.00,,0.00,,137.00,,0.00,0.00,137.00,2025-06-27,$5.27 ,$721.99 
14221,CFAB,SPUNLAB,30/1 55/35/10 Modacrylic/Karded Cotton/Blk Karded Cotton Heather PRTXM RS,Heather,"2,861.00",,0.00,,"2,861.00",,0.00,0.00,"2,861.00",2025-06-27,$5.50 ,"$15,735.50 "
14223,CFAB,SPUNLAB,30/1 85/15 Modacrylic/Tencel Natural PCG100 RS,Natural,166.90,,0.00,,166.90,,0.00,-1.28,165.62,2025-06-27,$7.42 ,"$1,238.40 "
14242,CFAB,SPUNLAB,36/1 85/15 Modacrylic/Tencel Natural G100 RS,Natural,"7,914.00",,"-3,281.60",,"4,632.40",,0.00,0.00,"4,632.40",2025-06-27,$7.90 ,"$36,596.00 "
14265,CFAB,PATRICK YARNS,30/1 90/10 P/PTF Natural GORE RS,Natural,"3,403.00",,0.00,,"3,403.00",,0.00,0.00,"3,403.00",2025-06-27,$4.99 ,"$16,980.97 "
14270,CFAB,SPUNLAB,26/1 75/15/10 Modacrylic/Rayon/Nylon Natural PROCFR RS,Natural,"2,738.00",,"-2,989.84",,-251.84,,0.00,0.00,-251.84,2025-06-27,$7.94 ,"($1,999.62)"
14278,CFAB,BEAL MANUFACTURING INC,23/1 75/15/10 Modacrylic/Tencel/Nylon Natural C G100,Natural,414.00,,0.00,,414.00,,0.00,0.00,414.00,2025-06-27,$5.91 ,"$2,446.74 "
14300,CFAB,SPUNLAB,36/1 55/45 Modacrylic/Karded Cotton Natural PRTXC RS,Natural,"1,139.00",,0.00,,"1,139.00",,0.00,0.00,"1,139.00",2025-06-27,$5.82 ,"$6,628.98 "
14401,CFAB,ROIC,1/70 100%FR Spandex Natural A4025,Natural,182.30,,0.00,,182.30,,0.00,0.00,182.30,2025-06-27,$16.50 ,"$3,007.95 "
14415,CFAB,CREORA/US Hyosung,1/70 100% Spandex Clear H300,Clear,380.70,"1,571.40","-1,455.50",,496.60,,0.00,-661.82,-165.22,2025-06-27,$5.18 ,"$2,572.41 "
14416,CFAB,CREORA/US Hyosung,1/20 100% Spandex BRT H350,BRT,89.90,,0.00,,89.90,,0.00,0.00,89.90,2025-06-27,$10.15 ,$912.49 
14493,CFAB,Nilit America Inc,1/78/68 100% Nylon Natural S Breeze nylon,Natural,63.00,,0.00,,63.00,,0.00,0.00,63.00,2025-06-27,$4.65 ,$292.95 
14620,CFAB,XLANCE,1/47 100% XLANCE Natural ELASTOLEFIN DBK,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
14621,CFAB,XLANCE,1/47 100% XLANCE Black ELASTOLEFIN,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
14628,CFAB,The LYCRA Company LLC,1/40 100% Lycra BRT  562B,BRT,43.00,,0.00,,43.00,,0.00,0.00,43.00,2025-06-27,$7.33 ,$315.19 
14650,CFAB,The LYCRA Company LLC,1/70/68 100% Nylon Natural FDY Flat T6300,Natural,509.00,,0.00,,509.00,,0.00,0.00,509.00,2025-06-27,$0.00 ,$0.00 
14651,CFAB,The LYCRA Company LLC,1/100/26 100% Nylon Natural FDY Flat T3800,Natural,493.00,,0.00,,493.00,,0.00,0.00,493.00,2025-06-27,$0.00 ,$0.00 
14652,CFAB,The LYCRA Company LLC,1/140/136 100% Nylon Natural False Twist Text. T6582,Natural,370.10,,0.00,,370.10,,0.00,0.00,370.10,2025-06-27,$0.00 ,$0.00 
14733,CFAB,XLANCE,1/61 100% XLANCE Natural ELASTOLEFIN,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$9.32 ,$0.00 
14734,CFAB,XLANCE,1/83 100% XLANCE Natural ELASTOLEFIN,Natural,126.60,,0.00,,126.60,,0.00,-112.00,14.60,2025-06-27,$7.84 ,$992.54 
14849,CFAB,UNIFI,1/70/72 100% Polyester Natural,Natural,1.60,,0.00,,1.60,,0.00,0.00,1.60,2025-06-27,$1.95 ,$3.12 
14895,CFAB,SUPREME CORPORATION,1/200/74 96/4 Polyester/Carbonized Nylon Grey Z,Grey,4.00,,0.00,,4.00,,0.00,-1.37,2.64,2025-06-27,$0.00 ,$0.00 
18001,CFAB,COMTRADE,60/1 Combed Cotton Natural,Natural,88.00,,0.00,,88.00,,0.00,0.00,88.00,2025-06-27,$3.40 ,$299.20 
18006,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/34 Polyester YELLOW876 543850,YELLOW876,687.70,,0.00,,687.70,,0.00,0.00,687.70,2025-06-27,$2.85 ,"$1,959.95 "
18008,CFAB,BURLINGTON MANUFACTURING SERVICE,1/150/36 100% Polyester ASHLYBLUE,ASHLYBLUE,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18010,CFAB,KURARAY AMERICA INC,1/400/40 VECT Black T150,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$66.87 ,$0.00 
18011,CFAB,BEAL MANUFACTURING INC,11/1 40/20/40 Rayon/Modacrylic/Glass Natural FR/F12,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18015,CFAB,IMIN,30/1 Combed Cotton Natural,Natural,84.00,,0.00,,84.00,,0.00,0.00,84.00,2025-06-27,$2.75 ,$231.00 
18016,CFAB,BUHLER QUALITY YARNS CORP,50/1 Combed Cotton Natural SUPZTW,Natural,68.00,,0.00,,68.00,,0.00,0.00,68.00,2025-06-27,$3.45 ,$234.60 
18019,CFAB,PARKDALE YARN MILLS,18/1 100% Karded Cotton Natural OE,Natural,"2,487.00","13,119.00","-10,047.33",,"5,558.67",,"7,281.00","-11,820.80","1,018.87",2025-06-27,$1.24 ,"$6,892.76 "
18024,CFAB,UNIFI,1/70/34 100% Nylon Black STR,Black,"3,546.60",,0.00,,"3,546.60",,0.00,0.00,"3,546.60",2025-06-27,$5.66 ,"$20,073.76 "
18026,CFAB,UNIFI,1/70/34 100% Nylon USE 18024 STRT66,USE 18024,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18030,CFAB,NORMTEX,1/300/72 100% Polyester Natural SETNTS,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$0.88 ,$0.00 
18035,CFAB,KC TEX INC,20/1 100% Bamboo Natural,Natural,256.00,,0.00,,256.00,,0.00,0.00,256.00,2025-06-27,$2.06 ,$527.36 
18037,CFAB,NORMTEX,2/300/72 100% Polyester Natural STRNTS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18039,CFAB,OMARA TEXTILES,1/150/34 100% Polyester Daybreak,Daybreak,124.00,,0.00,,124.00,CT,0.00,0.00,124.00,2025-06-27,$2.69 ,$333.56 
18040,CFAB,NORMTEX,3/300/72 100% Polyester Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18044,CFAB,KC TEX INC,30/1 100% Polyester Semi Dull,Semi Dull,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.37 ,$0.00 
18045,CFAB,ABY,30/1 100% Rayon Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18046,CFAB,PROMPTEX YARNS INC,30/1 100% Polyester Natural,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.33 ,$0.00 
18047,CFAB,OMARA TEXTILES,1/150/34 100% Polyester Pewter,Pewter,626.00,,0.00,,626.00,CT,0.00,0.00,626.00,2025-06-27,$3.74 ,"$2,341.24 "
18049,CFAB,SAPONA,1/70/34 Nylon Black STR,Black,84.00,,0.00,,84.00,,0.00,0.00,84.00,2025-06-27,$5.70 ,$478.80 
18052,CFAB,KC TEX INC,4/300/72 100% Polyester Natural TEXT,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18056,CFAB,ABY,30/1 52/48 Polyester/Rayon Natural,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18057,CFAB,Nilit America Inc,1/70/34 100% Nylon Semi Dull FLAT,Semi Dull,"3,786.50",,0.00,,"3,786.50",,0.00,0.00,"3,786.50",2025-06-27,$0.85 ,"$3,218.53 "
18058,CFAB,Nilit America Inc,1/140/34 100% Nylon Semi Dull FLAT,Semi Dull,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18060,CFAB,NANY,1/75/36 100% Polyester FB,FB,114.00,,0.00,,114.00,,0.00,0.00,114.00,2025-06-27,$1.90 ,$216.60 
18061,CFAB,Nilit America Inc,1/100/34 100% Nylon Semi Dull,Semi Dull,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18063,CFAB,Nilit America Inc,1/70/17 100% Nylon BRT,BRT,142.00,,0.00,,142.00,,0.00,0.00,142.00,2025-06-27,$2.75 ,$390.50 
18073,CFAB,MCMICHAELS MILL INC (SAPONA),20/150/48 Spandex/Polyester Natural,Natural,213.00,,0.00,,213.00,,0.00,0.00,213.00,2025-06-27,$2.30 ,$489.90 
18077,CFAB,KC TEX INC,20/1 100% Polyester Natural OB RS,Natural,252.00,,0.00,,252.00,CT,0.00,0.00,252.00,2025-06-27,$1.56 ,$393.12 
18084,CFAB,KC TEX INC,2/300/72 100% Polyester Natural,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.01 ,$0.00 
18085,CFAB,ALTX,1/75/36 100% Polyester Black SET,Black,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18086,CFAB,KC TEX INC,30/1 100% Rayon Natural,Natural,911.00,,0.00,,911.00,CT,0.00,-598.75,312.25,2025-06-27,$2.16 ,"$1,967.76 "
18088,CFAB,IMIN,30/1 100% Combed Cotton Natural ORGANI RS,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18089,CFAB,KC TEX INC,1/300/96 100% Polyester Natural,Natural,0.00,,0.00,,0.00,CT,0.00,0.00,0.00,2025-06-27,$1.03 ,$0.00 
18090,CFAB,KC TEX INC,30/1 52/48 Polyester/Rayon Natural,Natural,510.00,,0.00,,510.00,,0.00,0.00,510.00,2025-06-27,$1.44 ,$734.40 
18091,CFAB,OMARA TEXTILES,1/150/36 100% Polyester ROSESGLIC U549,ROSESGLIC,778.00,,0.00,,778.00,,0.00,0.00,778.00,2025-06-27,$3.45 ,"$2,684.10 "
18092,CFAB,UNIFI,1/70/68 100% Polyester Natural FRINMX,Natural,0.00,,0.00,,0.00,,0.00,0.00,0.00,2025-06-27,$0.00 ,$0.00 
18095,CFAB,PATRICK YARNS,24/1 Modacrylic/Tencel/Twaron Natural,Natural,36.00,,0.00,,36.00,,0.00,0.00,36.00,2025-06-27,$7.67 ,$276.12 
18096,CFAB,SPUNLAB,6/1 55/45 Modacrylic/Karded Cotton Natural PRTXM,Natural,302.00,,0.00,,302.00,,0.00,0.00,302.00,2025-06-27,$3.45 ,"$1,041.90 "
18097,CFAB,"EDPA USA, LLC",30/1 100% Rayon Natural RS,Natural,150.00,,0.00,,150.00,CT,0.00,0.00,150.00,2025-06-27,$1.45 ,$217.50 
